airport
BUR
ORD
MSY
DFW
JFK
SLC
CLE
IAH
MDW
FLL
CMH
MEM
LAS
AUS
GSO
SEA
ATL
PDX
LGA
PHX
CVG
DTW
TPA
SFO
ANC
DCA
IND
CAK
MSP
DEN
CLT
HPN
GEG
IAD
MIA
LAX
SJC
PHL
JAX
SDF
RST
SJU
SGF
MCO
FAR
BDL
SMF
PBI
BOS
SAN
CMX
OAK
ELP
LEX
SPI
OMA
DAL
RNO
SHV
MDT
AGS
SNA
RIC
HRL
BUF
KOA
BLI
ABI
EWR
BWI
GRR
PIT
SYR
RAP
STL
BNA
ITH
TUS
MCI
TYS
HNL
ILM
CHS
SAT
TVC
HOU
OKC
BGR
TUL
MAF
SFB
MRY
BOI
ICT
ONT
HSV
LNK
MHT
GSP
OGG
BIL
RSW
JAN
DSM
BTR
LRD
ALB
EVV
AZA
PNS
LIH
CAE
BHM
MYR
LWS
PGV
RDU
OTZ
LSE
BMI
SBA
MSN
FSD
BLV
SAV
SCE
ORF
VLD
BFL
MTJ
ELM
ABQ
DHN
LGB
GNV
MKE
DLH
LIT
FAT
BRO
CSG
TLH
ISP
BZN
BQN
COS
PWM
CHA
KTN
SBN
DRO
PVD
SBP
ECP
PSP
SUN
CID
GRB
ROC
OME
ASE
PSC
CMI
PGD
DAY
FWA
LCK
EAR
EUG
GPT
TOL
LCH
LFT
LBL
LAN
DAB
ABE
MSO
HLN
GCK
AVL
ITO
STS
PHF
ISN
GUC
BFF
CHO
PSG
PUB
LBB
LBE
BTV
ATW
GTF
STX
DRT
HIB
SRQ
FCA
TRI
SCK
VPS
PAH
MLB
STT
FNT
FLG
MFE
AZO
EGE
CRP
TYR
GRI
PIE
GRK
DIK
MOT
GCC
VEL
RDM
CRW
PIH
ART
CWA
AMA
SPS
MLU
SJT
JMS
AVP
HOB
USA
MFR
JHM
XNA
ROA
SIT
MHK
FAI
ACY
GJT
SWF
RKS
PLN
COU
FSM
WRG
RHI
AEX
MBS
CPR
ACT
YAK
SAF
LWB
BTM
IMT
MGM
SGU
ERI
LNY
YUM
JAC
UIN
PAE
ORH
MLI
JLN
EKO
EYW
BET
ALW
JNU
GTR
MOB
CNY
HHH
LBF
SHD
ROW
OAJ
SCC
ABY
SBY
DBQ
PIA
BPT
BIS
PIR
SPN
CLL
IDA
YKM
TWF
BQK
LAR
CGI
GFK
COD
FAY
DVL
SUX
PUW
TXK
EWN
IPT
LYH
BJI
FLO
PSE
CDV
EAT
BRD
APN
OTH
CKB
TTN
HTS
SWO
PBG
LAW
MVY
SLN
HYS
MEI
DUT
CIU
MKK
MQT
BFM
INL
PIB
PSM
CDC
OWB
RFD
MMH
CYS
MKG
HDN
HYA
IAG
ABR
BGM
STC
ACK
ADK
RDD
PVU
OGS
GUM
WYS
ESC
OGD
BRW
BKG
ALO
XWA
EAU
PRC
ACV
ADQ
GGG
HGR
ATY
PPG
HVN
PQI
SMX
ROP
GST
IFP
DLG
AKN
